Gene ID	Gene Name	ERR3452819	ERR3452821	ERR3452822	ERR3452820	ERR3452816	ERR3452817	ERR3452823	ERR3452818	ERR3452815
WBGene00000150	apm-1	490	1175	839	545	627	809	669	426	649
WBGene00000151	apn-1	1825	1738	1412	2045	1554	1747	1263	1581	1702
WBGene00000155	app-1	5663	4830	3426	5823	4942	5246	3220	5161	4817
WBGene00000156	apr-1	2715	2312	1724	2498	1989	2037	1455	2366	1812
WBGene00000157	aps-2	303	356	257	379	334	368	254	285	375
WBGene00000158	apg-1	2407	2449	1763	2357	2358	2495	1701	2256	2245
WBGene00000159	aps-1	1452	1451	1269	1504	1241	1418	1007	1320	1272
WBGene00000160	apb-1	2833	3161	2477	2831	2720	2991	2160	2605	2749
WBGene00000161	apa-2	1074	1059	749	1095	1128	1290	639	989	1164
WBGene00000162	apd-3	1675	1523	1083	1676	1312	1474	959	1488	1417
WBGene00000163	apb-3	2511	2370	1774	2609	2219	2341	1490	2225	2172
WBGene00000164	apm-3	410	356	270	421	350	387	234	323	396
WBGene00000165	aps-3	968	900	686	1046	777	871	588	876	815
WBGene00000166	apt-9	14	55	39	22	32	27	27	22	38
WBGene00000168	apx-1	2126	1880	1435	2016	1612	1735	1115	1920	1599
WBGene00000169	aqp-1	1043	3173	2825	1199	1204	1502	2399	917	1291
WBGene00000170	aqp-2	670	1719	1474	768	691	851	1226	607	773
WBGene00000171	aqp-3	18	31	25	23	20	20	18	18	14
WBGene00000172	aqp-4	357	990	726	358	368	497	570	339	403
WBGene00000173	aqp-5	1	3	1	0	2	0	0	2	2
WBGene00000174	aqp-6	7	18	21	7	5	7	21	9	9
WBGene00000175	aqp-7	5670	8480	6766	6431	7630	9550	5967	5281	8964
WBGene00000176	aqp-8	962	1785	1221	1028	1173	1514	971	874	1378
WBGene00000177	aqp-9	102	184	173	106	110	129	114	93	102
WBGene00000178	aqp-10	897	1691	1287	967	1225	1384	1021	858	1311
WBGene00000179	aqp-11	850	1264	944	1006	1120	1298	842	778	1219
WBGene00000180	arc-1	278	500	365	336	331	450	326	261	361
WBGene00000181	ard-1	3377	4329	3570	3661	3885	4175	3231	3089	3989
WBGene00000182	arf-1.2	8532	8892	6800	8410	7309	8956	4956	7883	7521
WBGene00000183	arf-3	9371	9925	7662	9587	8539	9953	6296	8375	8780
WBGene00000184	arf-6	825	983	746	899	897	974	646	818	861
WBGene00000185	arg-1	0	0	0	0	1	1	0	0	0
WBGene00000186	ark-1	912	944	718	883	882	970	631	879	943
WBGene00000187	arl-1	1004	1068	841	963	905	982	756	825	893
WBGene00000188	arl-3	25	74	40	29	47	59	37	44	34
WBGene00000189	arl-5	382	403	314	445	379	421	278	345	385
WBGene00000190	arf-1.1	345	179	116	274	366	467	118	283	444
WBGene00000191	arl-7	31	24	19	23	43	52	18	29	40
WBGene00000192	arl-8	3344	2759	2008	3251	2907	3106	1661	3122	2889
WBGene00000193	arl-6	4	9	5	2	10	9	8	9	12
WBGene00000195	arr-1	311	388	311	283	250	285	267	278	265
WBGene00000196	aars-1	1067	1141	848	1025	1011	1104	771	972	1133
WBGene00000197	aars-2	8739	8076	6302	8823	7777	8934	5561	7867	8645
WBGene00000198	art-1	4929	5064	3655	5242	4859	5470	3344	4395	5059
WBGene00000199	arx-1	2338	2260	1734	2371	2087	2308	1529	2049	2222
WBGene00000200	arx-2	2998	2916	2200	2949	2603	2944	1902	2722	2548
WBGene00000201	arx-3	1804	1762	1407	1771	1800	1952	1353	1586	1797
WBGene00000202	exos-4.2	1093	978	821	1100	971	1035	746	976	969
WBGene00000203	arx-5	1299	1339	1050	1390	1155	1191	987	1160	1254
WBGene00000204	arx-6	1218	1185	879	1389	1183	1323	899	1102	1279
WBGene00000205	arx-7	746	687	571	848	656	699	570	718	707
WBGene00000206	asb-1	9278	8490	6834	9597	8416	9015	6203	8294	8772
WBGene00000207	asb-2	3873	7682	5701	4044	4547	6147	5294	3415	5069
WBGene00000208	trip-4	916	1032	897	931	831	908	903	824	852
WBGene00000209	asg-1	4252	4238	3423	4550	3936	4446	3390	3679	4307
WBGene00000210	asg-2	2570	4591	3829	2726	3121	3591	3587	2321	3334
WBGene00000211	asm-1	294	414	368	297	265	403	253	243	312
WBGene00000212	asm-2	366	878	784	433	196	300	614	320	254
WBGene00000213	asm-3	172	327	308	230	23	24	406	158	29
WBGene00000214	asp-1	40498	76167	56970	42107	20230	26629	59836	36697	20379
WBGene00000215	asp-2	11370	18502	13402	12160	8055	9601	12656	10265	8132
WBGene00000216	asp-3	22402	38136	30128	23388	10707	14220	30072	19025	11452
WBGene00000217	asp-4	4814	6778	4829	4883	5799	6629	4429	4204	5889
WBGene00000218	asp-5	7591	18303	14103	8811	5557	6924	14459	6823	5517
WBGene00000219	asp-6	27710	51814	39447	29437	12923	16603	39142	25120	12970
WBGene00000220	atf-2	24	87	64	40	38	51	52	23	39
WBGene00000221	atf-4	1179	1447	1131	1147	1350	1554	913	1052	1317
WBGene00000222	atf-6	291	390	244	295	255	277	229	267	253
WBGene00000223	atf-7	4627	5085	3738	4468	4337	5050	3202	4165	4415
WBGene00000224	atgp-1	674	1454	1079	683	712	878	990	622	724
WBGene00000225	atgp-2	481	830	610	538	569	749	515	472	624
WBGene00000226	atl-1	2765	3007	2162	2679	2174	2771	1486	2379	2285
WBGene00000227	atm-1	955	1192	803	932	939	1057	720	873	935
WBGene00000228	atn-1	2627	7447	5471	3102	2814	3982	4599	2484	3293
WBGene00000229	atp-2	55142	65209	50229	56523	56436	67525	48281	50015	62492
WBGene00000230	atp-3	12280	16886	13267	12753	12141	14897	12043	10952	12969
WBGene00000231	atx-2	5526	5098	3578	5123	4905	5753	3287	5070	5476
WBGene00000232	avr-14	86	153	94	75	73	105	54	71	92
WBGene00000233	avr-15	275	606	478	290	292	398	391	240	315
WBGene00000235	baf-1	2913	2543	2088	2914	2307	2682	1660	2413	2599
WBGene00000236	bag-1	1409	1193	927	1474	1304	1425	916	1256	1457
WBGene00000237	bam-2	242	698	523	293	272	335	404	251	258
WBGene00000238	bar-1	240	487	371	248	233	313	326	202	248
WBGene00000239	bas-1	347	498	348	429	623	763	308	294	632
WBGene00000240	pah-1	1601	2093	1927	1733	2119	2216	1526	1408	2156
WBGene00000241	bbs-1	4	22	11	6	9	13	9	5	10
WBGene00000242	bbs-2	7	20	12	4	8	7	17	8	11
WBGene00000244	bbs-8	12	42	29	14	24	16	28	9	19
WBGene00000245	bca-1	824	650	395	892	978	1207	377	766	1035
WBGene00000246	bcc-1	81	118	74	74	101	103	65	73	107
WBGene00000247	bec-1	924	946	752	901	832	995	677	791	869
WBGene00000248	ben-1	1003	1901	1640	1040	1034	1275	1470	915	1148
WBGene00000249	bir-1	1075	961	780	1089	840	893	620	918	898
WBGene00000250	bir-2	620	675	534	627	525	528	581	541	514
WBGene00000251	bli-1	20	455	399	34	37	317	422	39	50
WBGene00000252	bli-2	25	774	523	17	55	308	569	34	49
WBGene00000253	bli-3	428	883	712	423	459	623	568	401	443
WBGene00000254	bli-4	5397	7743	5760	5544	5536	6351	4881	4844	5816
WBGene00000255	bli-5	12	49	22	13	18	23	37	6	19
WBGene00000256	bli-6	184	5191	3686	175	473	1148	4269	167	643
WBGene00000257	bmk-1	2177	2308	1934	2169	1679	1902	1806	1998	1767
WBGene00000259	bpl-1	1336	1508	1229	1325	1185	1302	884	1255	1238
WBGene00000262	bra-1	126	95	93	123	119	144	65	123	113
WBGene00000263	F23H11.5	4957	6451	5204	4853	4783	5923	4791	4322	5484
WBGene00000264	brc-1	1000	942	732	1032	834	880	593	905	877
WBGene00000265	brd-1	1370	1218	849	1341	1168	1143	791	1137	1091
WBGene00000266	bre-1	428	1136	857	463	519	668	799	425	588
WBGene00000267	bre-2	86	156	139	94	91	109	81	79	89
WBGene00000268	bre-3	2280	3257	2537	2527	2108	2484	2010	2165	2272
WBGene00000269	bre-4	377	558	409	482	424	431	409	375	405
WBGene00000270	bre-5	549	463	314	556	453	448	294	477	447
WBGene00000271	brf-1	1754	1580	1244	1707	1436	1674	1055	1580	1507
WBGene00000272	bro-1	1	2	1	2	3	2	0	0	4
WBGene00000273	brp-1	4466	7987	6933	4074	4975	6124	6220	4121	5641
WBGene00000274	btf-1	1917	2041	1561	1964	1791	2010	1269	1779	1853
WBGene00000275	bub-1	5411	5162	4072	5303	4062	4510	3792	4544	4158
WBGene00000276	byn-1	3170	3786	3010	3425	3141	3434	2691	2961	3219
WBGene00000277	cab-1	1518	2494	1998	1462	1417	1608	1794	1346	1451
WBGene00000279	cah-1	50	78	51	68	55	82	48	57	66
WBGene00000280	cah-2	20	56	41	14	28	14	34	35	21
WBGene00000281	cah-3	1178	1964	1568	1238	1084	1375	1349	1055	1165
WBGene00000282	cah-4	2962	5332	4376	3318	4853	6211	4018	2891	5287
WBGene00000283	cah-5	495	770	596	504	580	737	555	465	558
WBGene00000284	cah-6	41	109	107	52	54	56	73	40	49
WBGene00000285	cal-1	237	312	262	220	320	321	173	225	260
WBGene00000286	cal-2	165	367	320	163	149	177	269	144	141
WBGene00000287	cal-3	39	65	42	30	21	22	34	37	26
WBGene00000288	cal-4	67	118	103	70	73	84	82	53	69
WBGene00000289	cam-1	1475	1469	1024	1545	1187	1253	932	1335	1080
WBGene00000292	cap-1	2885	3077	2547	3007	2699	2814	2202	2645	2570
WBGene00000293	cap-2	3109	3583	2728	3160	2948	3237	2395	2807	3068
WBGene00000294	cas-1	2033	2888	2124	2137	2569	3005	2012	1993	2621
WBGene00000295	cat-1	21	61	38	19	25	31	48	33	23
WBGene00000296	cat-2	30	58	38	22	14	24	34	16	13
WBGene00000298	cat-4	756	2005	1800	979	727	933	1427	775	746
WBGene00000301	cav-1	769	163	106	525	236	220	109	531	217
WBGene00000302	cav-2	82	162	124	77	65	110	74	71	63
WBGene00000308	C04A11.t1	0	0	3	0	0	0	0	0	0
WBGene00000310	C05C9.t1	0	0	0	0	0	0	0	0	0
WBGene00000311	C05C9.t2	0	0	0	0	0	0	0	0	0
WBGene00000366	cbp-1	4415	4616	3373	4148	3827	4398	2857	3949	4155
WBGene00000367	cca-1	243	344	277	277	237	296	189	243	201
WBGene00000368	ccb-1	194	376	300	208	199	252	250	180	229
WBGene00000369	ccf-1	2116	1784	1404	1947	1571	1841	1259	1727	1594
WBGene00000370	ccg-1	2033	2834	2298	1965	3181	3571	2107	1955	3027
WBGene00000371	cox-5B	7435	9771	8137	7416	8076	9209	7787	6670	8911
WBGene00000372	cyp-13A7	8	69	21	3	3	2	23	1	1
WBGene00000373	cyp-14A5	141	239	256	126	168	214	138	108	161
WBGene00000374	cyp-31A1	387	539	409	408	380	462	367	317	446
WBGene00000375	cyp-44A1	1242	1057	875	1230	1146	1127	711	1073	1115
WBGene00000376	ccr-4	7911	6137	4442	7682	6121	6683	3377	7055	6313
WBGene00000377	cct-1	10218	8966	7154	10129	9530	10497	6814	9287	10456
WBGene00000378	cct-2	10059	9112	7114	10031	9494	10399	6790	8969	10372
WBGene00000379	cct-4	11369	10382	8070	11433	11126	12285	7501	10370	11678
WBGene00000380	cct-5	17546	16897	12799	18280	18432	21290	11741	16069	20016
WBGene00000381	cct-6	9956	9369	7366	9749	9478	10753	6712	8632	10352
WBGene00000382	cdc-6	2534	2127	1642	2545	2012	2091	1266	2223	1967
WBGene00000383	cdc-14	3253	3397	2609	3072	2750	3113	2065	2893	2687
WBGene00000386	cdc-25.1	5371	4453	3267	5330	4650	5116	2846	4831	4784
WBGene00000387	cdc-25.2	1034	583	412	902	632	676	326	847	625
WBGene00000388	cdc-25.3	678	389	307	649	523	492	263	653	429
WBGene00000389	cdc-25.4	26	140	109	37	28	49	121	28	59
WBGene00000390	cdc-42	4793	4338	3194	4513	3519	4164	2426	4255	3680
WBGene00000391	cdd-1	94	197	162	140	97	144	184	103	116
WBGene00000392	cdd-2	1003	687	549	950	988	1104	468	858	1085
WBGene00000393	cdf-1	510	668	474	564	527	698	384	474	569
WBGene00000395	cdh-3	230	175	108	193	102	154	88	190	135
WBGene00000396	cdh-4	1028	793	620	882	586	681	452	833	588
WBGene00000397	cdh-5	41	105	61	38	24	46	61	29	22
WBGene00000399	cdh-7	6	60	15	8	11	34	35	8	16
WBGene00000401	cdh-9	33	75	73	31	44	45	60	32	43
WBGene00000402	cdh-10	16	148	70	22	18	66	97	13	18
WBGene00000403	casy-1	1036	1931	1522	951	869	1087	1241	868	902
WBGene00000405	cdk-1	5447	3960	3152	5346	3970	4110	2702	4694	3983
WBGene00000406	cdk-4	207	142	100	203	160	135	112	172	151
WBGene00000407	cdk-5	1092	1035	791	1109	1008	1101	739	1056	1012
WBGene00000408	cdk-7	1791	1831	1476	1935	1708	1649	1256	1600	1642
WBGene00000409	cdk-8	1436	1206	1006	1358	1225	1262	728	1240	1134
WBGene00000410	cdk-9	727	904	679	716	652	709	673	698	727
WBGene00000411	cdl-1	3672	2901	2315	3448	2766	3009	2023	3212	2954
WBGene00000412	cdr-1	6	27	21	11	6	6	21	4	2
WBGene00000413	cdt-1	1287	998	756	1270	1174	1180	624	1229	1098
WBGene00000414	cec-1	466	645	611	485	495	584	528	471	511
WBGene00000415	ced-1	1865	2128	1514	1827	1850	2149	1480	1642	1830
WBGene00000416	ced-2	1422	1313	979	1480	1188	1291	892	1270	1214
WBGene00000417	ced-3	3792	3164	2164	3604	3068	3272	1899	3380	3081
WBGene00000418	ced-4	813	840	599	891	767	883	557	767	765
WBGene00000419	ced-5	2975	2702	1914	2960	2585	3024	1306	2676	2489
WBGene00000420	ced-6	1186	1341	1055	1257	1218	1460	962	1117	1320
WBGene00000421	ced-7	3883	4625	3372	3931	3848	4611	2480	3692	3891
WBGene00000422	ced-8	113	61	37	107	78	83	21	98	73
WBGene00000423	ced-9	1270	970	862	1186	1001	1001	832	1056	981
WBGene00000424	ced-10	1100	1021	709	1125	982	1116	614	982	1034
WBGene00000425	ced-11	93	71	34	74	71	81	24	57	77
WBGene00000426	ced-12	1921	2048	1562	1905	1599	1671	1182	1609	1505
WBGene00000427	ced-13	0	0	1	1	0	1	0	0	0
WBGene00000428	ceh-1	11	7	20	7	11	14	9	5	10
WBGene00000429	ceh-2	10	14	7	0	6	6	15	7	4
WBGene00000430	ceh-5	6	3	1	3	0	3	2	6	3
WBGene00000431	ceh-6	30	46	25	31	29	23	32	19	23
WBGene00000432	ceh-7	1	1	0	0	0	0	0	0	0
WBGene00000433	ceh-8	0	3	6	1	0	6	1	1	1
WBGene00000434	ceh-9	8	13	7	8	5	7	8	6	3
WBGene00000435	ceh-10	15	12	15	5	7	8	8	6	10
WBGene00000436	ceh-12	1	6	6	1	1	5	3	0	2
WBGene00000437	ceh-13	132	155	91	67	83	95	82	100	81
WBGene00000438	ceh-14	87	298	253	104	93	155	197	80	126
WBGene00000439	ceh-16	12	7	3	7	7	9	2	12	10
WBGene00000440	ceh-17	1	10	9	6	6	5	4	5	4
WBGene00000441	ceh-18	231	601	388	313	275	385	355	259	328
WBGene00000442	ceh-19	36	40	34	26	24	31	18	22	19
WBGene00000443	ceh-20	247	453	356	243	274	328	275	229	264
WBGene00000444	ceh-21	233	164	105	228	180	198	101	218	170
WBGene00000445	ceh-22	4	28	24	12	8	5	22	3	7
WBGene00000446	ceh-23	9	9	8	14	7	8	6	18	8
WBGene00000447	ceh-24	5	28	27	4	7	17	14	3	12
WBGene00000448	pros-1	32	97	68	24	30	44	66	19	25
WBGene00000449	ceh-27	25	31	13	15	14	17	23	18	10
WBGene00000450	ceh-28	0	0	1	1	0	0	0	0	0
WBGene00000451	ceh-30	8	26	21	9	21	15	26	5	24
WBGene00000452	ceh-31	10	16	12	9	9	11	15	8	11
WBGene00000453	ceh-32	106	223	151	102	80	89	110	110	85
WBGene00000454	ceh-33	11	29	18	9	13	17	16	6	11
WBGene00000455	ceh-34	29	102	51	24	36	60	41	41	16
WBGene00000457	ceh-36	6	3	2	5	5	2	1	8	1
WBGene00000458	ceh-37	66	268	200	42	54	64	138	59	52
WBGene00000459	ceh-38	3345	3203	2221	3440	2875	3159	1727	3173	2873
WBGene00000460	ceh-39	488	316	242	432	356	355	182	418	335
WBGene00000461	ceh-40	133	50	23	103	83	56	19	111	86
WBGene00000462	ceh-41	207	105	89	180	148	156	54	154	141
WBGene00000463	ceh-43	80	57	61	71	36	51	54	58	30
WBGene00000464	ceh-44	2479	2987	2076	2615	2263	2461	1922	2368	2306
WBGene00000465	cpg-1	33018	22006	16971	30775	23797	24067	16422	29231	24085
WBGene00000466	cel-1	1626	1494	1141	1702	1580	1780	954	1456	1582
WBGene00000467	cep-1	1511	1467	1102	1586	1315	1496	858	1387	1272
WBGene00000468	ces-1	88	208	205	113	199	231	147	77	215
WBGene00000469	ces-2	29	15	7	19	26	12	9	12	22
WBGene00000472	cey-1	8525	11398	8898	8877	7280	8699	7468	7509	7985
WBGene00000473	cey-2	46320	36902	30330	44864	34659	37704	27411	38965	37058
WBGene00000474	cey-3	19287	15864	13414	19224	15297	16248	12098	16464	16011
WBGene00000475	cey-4	12439	13162	10463	12522	11292	13567	10598	11093	12954
WBGene00000476	cfi-1	67	146	93	58	42	55	79	45	46
WBGene00000477	cft-1	54	134	92	61	52	70	75	50	59
WBGene00000478	cfz-2	32	35	32	31	18	13	17	30	13
WBGene00000479	cgh-1	57900	51341	40856	58575	49390	54558	32416	52871	51133
WBGene00000480	cgp-1	2321	2661	2174	2329	2189	2458	1873	2140	2394
WBGene00000481	cha-1	33	108	83	44	42	58	63	35	47
WBGene00000482	chd-3	1040	1166	788	1024	1019	1111	725	971	1011
WBGene00000483	che-1	0	0	0	0	0	0	0	0	0
WBGene00000484	che-2	6	36	22	12	5	7	15	10	7
WBGene00000485	che-3	48	112	85	43	76	73	48	40	48
WBGene00000487	che-6	3	1	5	1	2	2	3	1	4
WBGene00000488	che-7	15	32	32	12	13	13	30	17	17
WBGene00000490	che-11	11	58	42	12	16	22	28	17	25
WBGene00000491	che-12	29	72	60	33	43	53	45	33	33
WBGene00000492	che-13	17	89	71	11	24	51	56	25	43
WBGene00000493	che-14	44	138	116	39	58	64	70	43	41
WBGene00000496	chs-1	8917	5953	4176	8631	6903	7451	3625	8109	6969
WBGene00000497	chs-2	118	332	205	145	95	108	202	110	88
WBGene00000498	chk-1	1639	1409	1098	1571	1277	1366	1090	1377	1341
WBGene00000499	chk-2	251	253	193	263	248	341	182	250	285
WBGene00000500	chn-1	1772	1539	1150	1770	1482	1534	1049	1491	1391
WBGene00000501	cho-1	67	172	116	53	54	65	96	46	50
WBGene00000502	chp-1	1971	1761	1320	1948	1885	2101	1214	1755	1922
WBGene00000503	cht-1	417	33	43	276	87	82	39	311	66
WBGene00000506	cic-1	615	616	471	589	448	553	353	531	457
WBGene00000507	cit-1.1	887	853	618	904	845	890	473	847	847
WBGene00000508	cit-1.2	997	1038	828	1047	967	1060	669	1009	1019
WBGene00000509	cka-1	1708	1896	1455	1676	1380	1742	1001	1492	1472
